Duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,target
3.1e-05,0.0,0.0,1,52,1,40,0
4.01e-05,0.0,0.0,1,52,1,40,0
3.7e-05,0.0,0.0,1,52,1,40,0
2.81e-05,0.0,0.0,1,52,1,40,0
3.6e-05,0.0,0.0,1,52,1,40,0
4.01e-05,0.0,0.0,1,52,1,40,0
0.13329196,602.0,4086.0,6,854,8,4418,0
3.5e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
2.79e-05,0.0,0.0,1,52,1,40,0
0.73319912,214.0,1823380.0,343,18058,1263,1889064,0
1.48e-05,0.0,0.0,1,52,1,40,0
3e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
4.510892153,0.0,0.0,5,200,0,0,0
0.177994967,1227.0,6594.0,10,1639,13,7126,0
0.179270029,1237.0,6186.0,10,1649,13,6718,0
0.18677187,1216.0,6962.0,10,1628,13,7494,0
0.143646002,154.0,539.0,5,366,6,791,0
119.9364669,3449.0,470.0,8,3781,9,842,1
119.9364679,604.0,10063.0,6,856,13,10595,0
0.191377163,788.0,1178.0,7,1080,5,1390,0
0.217388153,853.0,5192.0,11,1317,9,7024,0
59.66194582,24444.0,0.0,19,24976,0,0,1
0.256817102,158.0,0.0,2,238,0,0,1
59.54630017,24480.0,0.0,19,25012,0,0,1
0.201155901,1322.0,4039.0,12,1814,10,4451,0
0.123637915,757.0,5651.0,10,1169,9,6023,0
0.83871913,44986.0,7174.0,45,46798,29,8346,1
0.174465895,775.0,6172.0,10,1187,8,6504,0
3.042247057,700.0,0.0,4,812,0,0,1
3.026268005,700.0,0.0,4,812,0,0,1
0.133622885,3076.0,6916.0,11,3528,15,7528,0
4.529769897,0.0,0.0,5,200,0,0,0
1.41e-05,0.0,0.0,1,52,1,40,0
4.51e-05,0.0,0.0,1,52,1,40,0
5.1e-05,0.0,0.0,1,52,1,40,0
5.41e-05,0.0,0.0,1,52,1,40,0
6.1e-05,0.0,0.0,1,52,1,40,0
2.41e-05,0.0,0.0,1,52,1,40,0
3.12e-05,0.0,0.0,1,52,1,40,0
2.22e-05,0.0,0.0,1,52,1,40,0
2.19e-05,0.0,0.0,1,52,1,40,0
2.69e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
3.39e-05,0.0,0.0,1,52,1,40,0
3.91e-05,0.0,0.0,1,52,1,40,0
4.6e-05,0.0,0.0,1,52,1,40,0
3.29e-05,0.0,0.0,1,52,1,40,0
3.89e-05,0.0,0.0,1,52,1,40,0
4.79e-05,0.0,0.0,1,52,1,40,0
8.11e-06,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
3.79e-05,0.0,0.0,1,52,1,40,0
4.1e-05,0.0,0.0,1,52,1,40,0
4.39e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
3.6e-05,0.0,0.0,1,52,1,40,0
3.101889849,6428.0,2433.0,16,7080,20,3245,1
4.91e-05,0.0,0.0,1,52,1,40,0
5.98e-05,0.0,0.0,1,52,1,40,0
6.39e-05,0.0,0.0,1,52,1,40,0
6.7e-05,0.0,0.0,1,52,1,40,0
3e-05,0.0,0.0,1,52,1,40,0
3.5e-05,0.0,0.0,1,52,1,40,0
4.1e-05,0.0,0.0,1,52,1,40,0
4.51e-05,0.0,0.0,1,52,1,40,0
0.113471985,591.0,6795.0,10,1119,10,7323,0
0.113775015,591.0,6796.0,11,1171,10,7324,0
0.058547974,195.0,977.0,6,503,6,1297,0
3.5e-05,0.0,0.0,1,52,1,40,0
4.1e-05,0.0,0.0,1,52,1,40,0
4.41e-05,0.0,0.0,1,52,1,40,0
2.5e-05,0.0,0.0,1,52,1,40,0
1.91e-05,0.0,0.0,1,52,1,40,0
2.1e-05,0.0,0.0,1,52,1,40,0
2.5e-05,0.0,0.0,1,52,1,40,0
3.41e-05,0.0,0.0,1,52,1,40,0
3.79e-05,0.0,0.0,1,52,1,40,0
0.848073959,214.0,1952723.0,339,18064,1353,2023099,0
0.207602024,5678.0,18481.0,17,6370,19,19253,0
0.051270962,52.0,114.0,1,80,1,142,0
0.023222923,36.0,98.0,1,64,1,126,0
0.031836987,68.0,133.0,1,96,1,161,0
0.034878016,68.0,145.0,1,96,1,173,0
3.155168056,1295.0,5322.0,11,1747,7,5614,0
3.155424118,2208.0,6364.0,15,2820,9,6736,0
3.155699015,8116.0,11934.0,21,8968,16,12586,0
3.155845881,18353.0,34012.0,33,19685,35,35424,0
3.155976057,14888.0,28388.0,28,16020,32,29680,0
3.156121969,8112.0,11803.0,20,8924,16,12455,0
0.011724949,33.0,49.0,1,61,1,77,0
0.000159025,33.0,49.0,1,61,1,77,0
0.018901825,36.0,118.0,1,64,1,146,0
0.04171896,94.0,156.0,1,122,1,184,0
0.000158072,31.0,47.0,1,59,1,75,0
0.020208836,50.0,173.0,1,78,1,201,0
0.019426107,37.0,119.0,1,65,1,147,0
0.000145912,31.0,47.0,1,59,1,75,0
0.027521133,36.0,105.0,1,64,1,133,0
0.000149012,52.0,52.0,1,80,1,80,0
0.017457962,41.0,177.0,1,69,1,205,0
0.000155926,94.0,94.0,1,122,1,122,0
0.462771893,108.0,277.0,2,164,2,333,0
0.067689896,35.0,102.0,1,63,1,130,0
0.000178099,31.0,47.0,1,59,1,75,0
0.018090963,52.0,68.0,1,80,1,96,0
0.000140905,36.0,36.0,1,64,1,64,0
0.930581808,86.0,292.0,2,142,2,348,0
0.000137091,36.0,36.0,1,64,1,64,0
0.018897057,35.0,81.0,1,63,1,109,0
0.019670963,35.0,81.0,1,63,1,109,0
0.000304937,36.0,36.0,1,64,1,64,0
0.013200998,47.0,174.0,1,75,1,202,0
0.017147064,44.0,202.0,1,72,1,230,0
0.022341013,49.0,184.0,1,77,1,212,0
0.016541004,42.0,101.0,1,70,1,129,0
0.01451087,33.0,163.0,1,61,1,191,0
0.000803947,97.0,97.0,2,153,2,153,0
0.068166971,101.0,175.0,2,157,2,231,0
